-1;-0.0727318;
-0.98;1.00757;
-0.96;1.98419;
-0.94;2.8907;
-0.92;3.69058;
-0.9;4.32973;
-0.88;4.76095;
-0.86;4.95323;
-0.84;4.89354;
-0.82;4.58556;
-0.8;4.04731;
-0.78;3.30882;
-0.76;2.40989;
-0.74;1.39795;
-0.72;0.325727;
-0.7;-0.751255;
-0.68;-1.77746;
-0.66;-2.7003;
-0.64;-3.47307;
-0.62;-4.05769;
-0.6;-4.42694;
-0.58;-4.56616;
-0.56;-4.47403;
-0.54;-4.16256;
-0.52;-3.65613;
-0.5;-2.98976;
-0.48;-2.20667;
-0.46;-1.35533;
-0.44;-0.486279;
-0.42;0.351198;
-0.4;1.11212;
-0.38;1.75854;
-0.36;2.26164;
-0.34;2.60323;
-0.32;2.77637;
-0.3;2.78531;
-0.28;2.64461;
-0.26;2.37759;
-0.24;2.01435;
-0.22;1.58923;
-0.2;1.13826;
-0.18;0.696458;
-0.16;0.295399;
-0.14;-0.0389667;
-0.12;-0.287959;
-0.1;-0.441262;
-0.08;-0.497377;
-0.06;-0.463416;
-0.04;-0.354269;
-0.02;-0.191201;
6.17562e-16;4.27831e-07;
0.02;0.191201;
0.04;0.35427;
0.06;0.463417;
0.08;0.497377;
0.1;0.441262;
0.12;0.287959;
0.14;0.0389661;
0.16;-0.2954;
0.18;-0.696459;
0.2;-1.13826;
0.22;-1.58923;
0.24;-2.01435;
0.26;-2.37759;
0.28;-2.64461;
0.3;-2.78531;
0.32;-2.77637;
0.34;-2.60323;
0.36;-2.26164;
0.38;-1.75854;
0.4;-1.11212;
0.42;-0.351198;
0.44;0.486279;
0.46;1.35533;
0.48;2.20667;
0.5;2.98976;
0.52;3.65613;
0.54;4.16256;
0.56;4.47403;
0.58;4.56616;
0.6;4.42694;
0.62;4.05769;
0.64;3.47307;
0.66;2.7003;
0.68;1.77746;
0.7;0.751256;
0.72;-0.325726;
0.74;-1.39795;
0.76;-2.40989;
0.78;-3.30882;
0.8;-4.04731;
0.82;-4.58556;
0.84;-4.89354;
0.86;-4.95323;
0.88;-4.76095;
0.9;-4.32973;
0.92;-3.69058;
0.94;-2.8907;
0.96;-1.98419;
0.98;-1.00757;
